chromosome	start	stop	ab_initio_tx_id	Human_PB	Chimp_PB	Gorilla_PB	Orangutan_PB	Rhesus_PB	gene_id	gene_name
chr10	29379586	29379658	augCGP-20949.t1	0	0	0	0	11	ENSG00000100228.12	RAB36
chr10	30577993	30578187	augPB-4133.t3	0	0	0	0	35	ENSG00000227762.4	GUSBP8
chr10	31317555	31317750	augPB-4149.t2	0	0	0	0	66	ENSG00000161179.14	YDJC
chr10	31826139	31826229	augPB-4163.t1	0	0	0	0	10	ENSG00000099957.16	P2RX6
chr10	32213493	32213592	augPB-4174.t1	0	0	0	0	8	ENSG00000185252.19	ZNF74
chr10	33498530	33498706	augPB-4208.t1	0	0	0	0	1	ENSG00000063515.2	GSC2
chr10	43028115	43028226	augPB-4294.t1	0	0	0	0	36	ENSG00000226344.1	CST12P
chr10	43506259	43506364	augPB-4305.t1	0	0	0	0	4	ENSG00000230492.1	AL049651.1
chr10	43506678	43506792	augPB-4305.t1	0	0	0	0	4	ENSG00000230492.1	AL049651.1
chr10	43515088	43515216	augPB-4305.t2	0	0	0	0	2	ENSG00000230492.1	AL049651.1
chr10	43519501	43519640	augPB-4305.t2	0	0	0	0	2	ENSG00000230492.1	AL049651.1
chr10	45011525	45011618	augPB-4314.t1	0	0	0	0	3	ENSG00000278041.1	AL133325.3
chr10	45422763	45422866	augPB-4318.t2	0	0	0	0	2	ENSG00000225127.3	LINC00237
chr10	46527710	46527753	augPB-4326.t1	0	0	0	0	2	ENSG00000132669.13	RIN2
chr10	46816163	46816214	augPB-4327.t1	0	0	0	0	3	ENSG00000185052.12	SLC24A3
chr10	47213110	47213204	augPB-4328.t1	0	0	0	0	2	ENSG00000179447.2	AL049647.1
chr10	48023130	48023170	augPB-4340.t2	0	0	0	0	12	ENSG00000089091.16	DZANK1
chr10	48025754	48025879	augPB-4340.t2	1	0	0	1	31	ENSG00000089091.16	DZANK1
chr10	51410774	51410900	augPB-4364.t1	0	0	0	0	2	ENSG00000172264.17	MACROD2
chr10	52659516	52659560	augPB-4367.t2	0	0	0	0	48	ENSG00000101251.12	SEL1L2
chr10	54047293	54047352	augPB-4373.t1	0	0	0	0	2	ENSG00000235698.1	PA2G4P2
chr10	54058583	54058694	augPB-4373.t1	0	0	0	0	1	ENSG00000235698.1	PA2G4P2
chr10	62709496	62709600	augPB-4422.t2	0	0	0	0	11	ENSG00000101222.12	SPEF1
chr10	62813950	62814290	augPB-4426.t3	0	0	0	0	1	ENSG00000149451.17	ADAM33
chr10	62815865	62815995	augPB-4426.t3	0	0	0	0	1	ENSG00000149451.17	ADAM33
chr10	63165993	63166078	augPB-4430.t1	0	0	0	0	23	ENSG00000088854.12	C20orf194
chr10	63267718	63267892	augCGP-21281.t1	0	5	8	2	60	ENSG00000088836.14	SLC4A11
chr10	63267760	63267892	augPB-4431.t3	0	0	0	0	17	ENSG00000088836.14	SLC4A11
chr10	63268013	63268066	augPB-4431.t1	0	2	3	1	28	ENSG00000088836.14	SLC4A11
chr10	63268312	63268538	augPB-4431.t2	0	1	0	0	8	ENSG00000088836.14	SLC4A11
chr10	65581886	65581978	augPB-4474.t1	0	0	0	0	1	ENSG00000101282.9	RSPO4
chr10	66723982	66724089	augPB-4495.t2	0	0	0	0	1	ENSG00000088320.4	REM1
chr10	66879985	66880057	augPB-4498.t2	0	0	0	0	1	ENSG00000131055.5	COX4I2
chr10	67685062	67685139	augPB-4514.t3	0	0	0	0	20	ENSG00000197183.14	NOL4L
chr10	69926282	69926428	augPB-4549.t2	0	0	0	0	17	ENSG00000198646.14	NCOA6
chr10	69954323	69954434	augPB-4549.t3	0	0	1	0	7	ENSG00000198646.14	NCOA6
chr10	70740840	70740898	augPB-4565.t1	0	0	0	0	3	ENSG00000242507.6	FO393401.1
chr10	71437518	71437664	augPB-4580.t2	2	1	0	1	89	ENSG00000088367.23	EPB41L1
chr10	72767429	72767488	augPB-4597.t1	0	0	0	0	1	ENSG00000166619.15	BLCAP
chr10	72930619	72930691	augPB-4599.t2	0	0	0	0	1	ENSG00000204117.2	AL162293.1
chr10	72943962	72944060	augPB-4599.t2	0	0	0	0	1	ENSG00000204117.2	AL162293.1
chr10	74036846	74036961	augCGP-21460.t1	0	0	0	0	8	ENSG00000101442.10	ACTR5
chr10	74037513	74037612	augCGP-21460.t1	0	0	0	0	9	ENSG00000101442.10	ACTR5
chr10	74051272	74051338	augCGP-21460.t1	0	0	0	0	9	ENSG00000101442.10	ACTR5
chr10	76524601	76524683	augPB-4625.t1	0	0	0	0	228	ENSG00000174306.21	ZHX3
chr10	81152788	81152926	augPB-4686.t3	0	1	0	0	31	ENSG00000198026.8	ZNF335
chr10	81419836	81419939	augPB-4694.t1	0	0	0	0	2	ENSG00000149654.11	CDH22
chr10	81655234	81655330	augPB-4697.t1	0	0	0	0	10	ENSG00000225192.1	ZNF33BP1
chr10	84165513	84165662	augPB-4714.t1	0	2	0	0	66	ENSG00000124198.9	ARFGEF2
chr10	91599278	91599356	augPB-4763.t1	0	0	0	0	1	ENSG00000087589.16	CASS4
chr10	93320593	93320708	augPB-4780.t2	0	0	0	0	3	ENSG00000124237.6	C20orf85
chr10	93322752	93322861	augPB-4780.t2	0	0	0	0	3	ENSG00000124237.6	C20orf85
chr10	93380048	93380222	augPB-4783.t1	0	0	0	0	1	ENSG00000124227.5	ANKRD60
chr10	93423880	93424027	augPB-4784.t1	0	15	24	27	503	ENSG00000124224.17	PPP4R1L
chr10	94186435	94186512	augCGP-21642.t1	0	0	0	0	1	ENSG00000101162.4	TUBB1
chr10	95368216	95368353	augPB-4809.t1	0	0	0	0	4	ENSG00000228340.6	MIR646HG
chr10	96252802	96252865	augPB-4810.t2	0	0	0	0	12	ENSG00000229606.2	LINC01718
chr10	98023412	98023653	augPB-4834.t3	0	0	0	0	26	ENSG00000101190.13	TCFL5
chr10	98525351	98525494	augPB-4845.t1	0	0	0	0	1	ENSG00000101203.16	COL20A1
chr10	98951586	98951687	augPB-4863.t5	0	0	0	3	14	ENSG00000125520.14	SLC2A4RG
chr10	98951819	98952108	augPB-4863.t5	0	0	0	0	2	ENSG00000125520.14	SLC2A4RG
chr10	99171115	99171303	augPB-4869.t3	2	1	1	1	81	ENSG00000198276.16	UCKL1
chr10	99312937	99313348	augPB-4876.t3	0	0	0	0	31	ENSG00000171695.10	LKAAEAR1
chr10_2686X2717_random	85347	85504	augPB-22137.t1	0	0	0	0	2	ENSG00000101204.17	CHRNA4
chr11	2874128	2874242	augPB-2577.t1	0	0	0	0	1	ENSG00000255669.2	AC092471.1
chr11	2975160	2975181	augPB-2582.t2	0	0	0	0	36	ENSG00000111206.12	FOXM1
chr11	5090970	5091152	augPB-2608.t1	0	0	0	0	1	ENSG00000256654.4	AC005906.2
chr11	7078077	7078169	augPB-2644.t3	0	0	0	0	9	ENSG00000010626.15	LRRC23
chr11	7106482	7108467	augPB-2646.t3	0	0	0	0	3	ENSG00000111676.15	ATN1
chr11	8133460	8133804	augPB-2669.t2	0	0	0	0	1	ENSG00000176654.12	NANOGP1
chr11	9057924	9058096	augPB-2674.t2	0	0	1	0	249	ENSG00000060138.13	YBX3
chr11	9058684	9058785	augCGP-19385.t1	0	0	0	0	830	ENSG00000060138.13	YBX3
chr11	9537963	9538052	augPB-2680.t1	0	0	0	0	2	ENSG00000173391.9	OLR1
chr11	10500493	10500581	augPB-2694.t1	0	0	0	0	11	ENSG00000256069.7	A2MP1
chr11	10503337	10503473	augPB-2694.t1	0	0	0	0	11	ENSG00000256069.7	A2MP1
chr11	10512480	10512568	augPB-2694.t1	0	0	0	0	12	ENSG00000256069.7	A2MP1
chr11	10513768	10513843	augPB-2694.t3	0	0	0	0	7	ENSG00000256069.7	A2MP1
chr11	10911276	10911388	augPB-2700.t4	0	0	0	0	5	ENSG00000166535.20	A2ML1
chr11	12825037	12825082	augPB-2715.t1	0	0	0	0	1	ENSG00000255790.6	AC078950.1
chr11	12826318	12826453	augPB-2715.t1	0	0	0	0	1	ENSG00000255790.6	AC078950.1
chr11	26411288	26411486	augPB-2796.t3	0	0	0	0	70	ENSG00000118307.19	CASC1
chr11	30801121	30801168	augPB-2826.t5	0	0	0	0	2	ENSG00000187950.8	OVCH1
chr11	30818594	30818732	augPB-2826.t1	0	0	0	0	3	ENSG00000187950.8	OVCH1
chr11	30820094	30820228	augPB-2826.t1	0	0	0	0	3	ENSG00000187950.8	OVCH1
chr11	30825994	30826082	augPB-2826.t1	0	0	0	0	1	ENSG00000187950.8	OVCH1
chr11	30827178	30827277	augPB-2826.t1	0	0	0	0	1	ENSG00000187950.8	OVCH1
chr11	38944800	38944877	augPB-2852.t1	0	0	0	0	13	ENSG00000180116.15	C12orf40
chr11	38972106	38972639	augPB-2852.t1	0	0	0	0	28	ENSG00000180116.15	C12orf40
chr11	39843106	39843160	augCGP-19540.t1	0	0	0	0	2	ENSG00000205592.14	MUC19
chr11	39848737	39848791	augCGP-19540.t1	0	0	0	0	2	ENSG00000205592.14	MUC19
chr11	39854130	39854184	augCGP-19540.t1	0	0	0	0	3	ENSG00000205592.14	MUC19
chr11	39859006	39859108	augPB-2857.t2	0	0	0	0	6	ENSG00000205592.14	MUC19
chr11	39859820	39859874	augCGP-19542.t1	0	0	2	0	44	ENSG00000205592.14	MUC19
chr11	39862734	39862788	augPB-2857.t1	0	0	0	0	52	ENSG00000205592.14	MUC19
chr11	39865637	39865691	augPB-2857.t1	0	0	2	0	123	ENSG00000205592.14	MUC19
chr11	39867362	39867395	augPB-2857.t1	0	0	0	0	123	ENSG00000205592.14	MUC19
chr11	39867643	39867697	augPB-2857.t1	0	0	0	0	124	ENSG00000205592.14	MUC19
chr11	39870574	39870628	augPB-2857.t1	0	0	0	0	125	ENSG00000205592.14	MUC19
chr11	39876669	39876702	augCGP-19541.t1	0	0	0	0	126	ENSG00000205592.14	MUC19
chr11	39876944	39876998	augCGP-19541.t1	0	0	0	0	129	ENSG00000205592.14	MUC19
chr11	39877681	39877735	augCGP-19541.t1	0	0	0	0	122	ENSG00000205592.14	MUC19
chr11	39879750	39879804	augCGP-19541.t1	0	0	2	0	127	ENSG00000205592.14	MUC19
chr11	39886119	39886170	augPB-2857.t4	0	0	0	0	21	ENSG00000205592.14	MUC19
chr11	39886606	39886642	augPB-2857.t1	0	0	0	0	137	ENSG00000205592.14	MUC19
chr11	39896133	39896199	augCGP-19541.t1	0	0	0	0	137	ENSG00000205592.14	MUC19
chr11	39899159	39899213	augPB-2857.t1	0	0	1	0	99	ENSG00000205592.14	MUC19
chr11	39906048	39906159	augCGP-19541.t1	0	0	1	0	142	ENSG00000205592.14	MUC19
chr11	43179960	43180008	augPB-2870.t1	0	0	0	0	8	ENSG00000129317.14	PUS7L
chr11	44574895	44575012	augPB-2879.t2	0	0	0	0	4	ENSG00000257319.1	AC008127.1
chr11	47345989	47346114	augPB-2898.t2	0	0	0	0	13	ENSG00000061273.18	HDAC7
chr11	48272415	48272578	augPB-2914.t1	26	1	3	23	486	ENSG00000139620.12	KANSL2
chr11	48274824	48274992	augPB-2914.t2	25	0	0	22	481	ENSG00000139620.12	KANSL2
chr11	48639725	48639816	augPB-2928.t2	0	0	0	0	1	ENSG00000167548.15	KMT2D
chr11	50825226	50825477	augPB-2970.t4	0	0	0	1	21	ENSG00000184271.17	POU6F1
chr11	50921695	50922446	augPB-2973.t2	0	0	0	0	45	ENSG00000110934.12	BIN2
chr11	53656975	53657324	augPB-3037.t1	0	0	0	0	2	ENSG00000198353.8	HOXC4
chr11	55396350	55396606	augPB-3071.t2	0	0	0	0	92	ENSG00000182796.14	TMEM198B
chr11	55894990	55895200	augPB-3093.t8	1	3	0	3	48	ENSG00000135473.15	PAN2
chr11	55899018	55899190	augPB-3093.t10	0	1	0	3	3	ENSG00000135473.15	PAN2
chr11	55899409	55899613	augPB-3093.t10	0	0	0	1	1	ENSG00000135473.15	PAN2
chr11	56180179	56180406	augPB-3101.t19	5	42	16	6	225	ENSG00000076108.11	BAZ2A
chr11	56519881	56519968	augCGP-19782.t1	0	0	0	0	7	ENSG00000278399.1	AC026120.1
chr11	57055609	57055674	augPB-3127.t5	0	0	0	0	3	ENSG00000123329.19	ARHGAP9
chr11	68790598	68790791	augPB-3205.t2	20	4	23	18	104	ENSG00000111605.18	CPSF6
chr11	69451146	69451187	augPB-3213.t1	0	0	0	0	6	ENSG00000166268.11	MYRFL
chr11	76025656	76025695	augPB-3241.t3	0	0	0	0	39	ENSG00000091039.17	OSBPL8
chr11	79167266	79167370	augPB-3252.t4	0	0	0	0	11	ENSG00000177425.11	PAWR
chr11	84457435	84457749	augPB-3269.t3	0	0	0	0	59	ENSG00000072041.17	SLC6A15
chr11	84457619	84457749	augPB-3269.t2	0	0	0	0	14	ENSG00000072041.17	SLC6A15
chr11	84649763	84649908	augCGP-19928.t1	0	0	0	0	1	ENSG00000133640.20	LRRIQ1
chr11	85780158	85780272	augPB-3274.t1	0	0	0	0	1	ENSG00000182050.13	MGAT4C
chr11	87653309	87653510	augPB-3279.t3	0	0	0	0	61	ENSG00000165805.10	C12orf50
chr11	87710492	87710605	augPB-3280.t2	0	0	0	0	329	ENSG00000133641.18	C12orf29
chr11	88732841	88732908	augPB-3284.t1	0	0	0	0	1	ENSG00000246363.3	LINC02458
chr11	89305349	89305501	augPB-3289.t6	0	0	0	0	88	ENSG00000070961.15	ATP2B1
chr11	91780369	91780519	augPB-3296.t2	0	0	0	0	1	ENSG00000257242.8	LINC01619
chr11	92515358	92515457	augPB-3299.t2	0	0	0	0	27	ENSG00000187510.9	PLEKHG7
chr11	95205081	95205180	augPB-3318.t1	0	0	0	0	1	ENSG00000257943.2	AC084879.2
chr11	100001754	100001813	augPB-3347.t2	0	0	0	1	33	ENSG00000238105.7	GOLGA2P5
chr11	100352554	100352605	augPB-3352.t1	0	0	0	0	1	ENSG00000012504.15	NR1H4
chr11	102598679	102598747	augPB-3373.t5	0	0	0	0	3	ENSG00000171759.10	PAH
chr11	103460410	103460526	augPB-3378.t1	0	0	0	0	1	ENSG00000136011.15	STAB2
chr11	103547858	103547985	augPB-3380.t3	0	0	0	0	20	ENSG00000214198.8	TTC41P
chr11	103588164	103588363	augPB-3380.t1	0	0	0	0	130	ENSG00000214198.8	TTC41P
chr11	103596439	103596881	augPB-3380.t1	0	0	0	0	130	ENSG00000214198.8	TTC41P
chr11	103609642	103609857	augPB-3380.t2	0	0	0	0	125	ENSG00000214198.8	TTC41P
chr11	106421952	106422120	augPB-3404.t2	0	0	0	0	118	ENSG00000111783.12	RFX4
chr11	106433743	106433866	augPB-3404.t1	0	0	0	0	141	ENSG00000111783.12	RFX4
chr11	107516992	107517283	augPB-3413.t1	0	0	0	0	5	ENSG00000257951.2	AC126177.5
chr11	111882435	111882539	augCGP-20139.t1	1	2	1	4	46	ENSG00000173064.13	HECTD4
chr11	116080386	116080557	augPB-3504.t1	0	0	0	0	1	ENSG00000286354.1	AC079384.2
chr11	117294311	117294430	augCGP-20182.t1	0	0	0	0	1	ENSG00000171435.14	KSR2
chr11	119439466	119439608	augPB-3535.t1	0	0	0	0	66	ENSG00000111725.11	PRKAB1
chr11	119839518	119839530	augPB-3538.t1	0	0	0	0	15	ENSG00000135127.11	BICDL1
chr11	119857690	119857816	augPB-3538.t1	0	0	0	0	51	ENSG00000135127.11	BICDL1
chr11	120128667	120128822	augPB-3545.t3	0	0	0	0	28	ENSG00000135097.7	MSI1
chr11	121655768	121656809	augPB-3576.t2	0	0	0	0	1	ENSG00000139718.10	SETD1B
chr11	122049484	122049676	augPB-3584.t2	0	0	0	0	130	ENSG00000158113.13	LRRC43
chr11	122513871	122513994	augPB-3592.t1	0	0	0	0	1	ENSG00000256249.1	AC026333.3
chr11	122866980	122867108	augPB-3601.t1	0	0	0	0	5	ENSG00000090975.12	PITPNM2
chr11	123712478	123712803	augPB-3617.t2	0	0	0	0	2	ENSG00000197653.16	DNAH10
chr11	123800890	123801052	augCGP-20301.t1	0	0	0	0	60	ENSG00000197653.16	DNAH10
chr11	124240483	124241025	augPB-3621.t5	0	0	0	0	22	ENSG00000196498.13	NCOR2
chr11	124243489	124243706	augPB-3621.t3	0	0	0	0	6	ENSG00000196498.13	NCOR2
chr11	124260116	124260278	augPB-3621.t3	0	0	0	0	4	ENSG00000196498.13	NCOR2
chr11	124265117	124265286	augPB-3621.t3	0	0	0	0	11	ENSG00000196498.13	NCOR2
chr11	124830268	124831535	augCGP-20308.t1	5	812	2	0	4303	ENSG00000150991.15	UBC
chr11	127475006	127475126	augPB-3639.t2	0	0	0	0	1	ENSG00000255945.1	AC025252.2
chr11	127754245	127754392	augPB-3641.t1	0	0	0	0	16	ENSG00000256597.3	LINC02393
chr11	131178780	131178876	augPB-3660.t1	0	0	0	0	2	ENSG00000230294.4	LINC02370
chr11	131753765	131753914	augPB-3668.t1	0	0	0	0	28	ENSG00000177169.10	ULK1
chr11	131753999	131754104	augPB-3668.t1	0	0	0	0	5	ENSG00000177169.10	ULK1
chr11	131827176	131827264	augPB-3670.t2	0	0	3	0	24	ENSG00000183495.14	EP400
chr11	131994637	131994846	augPB-3672.t1	0	0	0	0	4	ENSG00000185163.10	DDX51
chr11	132506771	132506908	augPB-3680.t2	1	0	0	0	3	ENSG00000177084.18	POLE
chr11	132654300	132654453	augPB-3685.t2	4	4	0	1	28	ENSG00000090615.15	GOLGA3
chr11	132697290	132697380	augPB-3686.t3	0	0	0	0	95	ENSG00000072609.17	CHFR
chr11	132852630	132852699	augPB-3689.t1	0	0	0	0	33	ENSG00000198040.10	ZNF84
chr11_2306X2333_random	21369	21547	augPB-18460.t2	0	0	0	0	8	ENSG00000227059.7	ANHX
chr12	2885158	2885303	augPB-4940.t1	0	1	4	1	57	ENSG00000136715.18	SAP130
chr12	3022139	3022274	augPB-4941.t1	1	4	3	0	29	ENSG00000144233.9	AMMECR1L
chr12	3257066	3257147	augPB-4947.t1	0	0	0	0	3	ENSG00000169994.18	MYO7B
chr12	3282887	3283067	augPB-4947.t1	0	0	0	0	3	ENSG00000169994.18	MYO7B
chr12	4224017	4224074	augCGP-11258.t1	0	0	0	0	31	ENSG00000136732.16	GYPC
chr12	4227524	4227632	augCGP-11258.t1	0	0	0	0	31	ENSG00000136732.16	GYPC
chr12	4231328	4231436	augPB-4957.t1	0	0	0	0	30	ENSG00000136732.16	GYPC
chr12	9681857	9681938	augPB-4968.t4	0	0	0	0	73	ENSG00000074054.18	CLASP1
chr12	11846585	11846742	augPB-4983.t3	0	1	0	0	29	ENSG00000186132.15	C2orf76
chr12	18000087	18000194	augPB-5007.t1	0	0	0	0	4	ENSG00000286068.1	AC010974.2
chr12	20192182	20192337	augPB-5014.t1	0	0	0	0	11	ENSG00000176601.13	MAP3K19
chr12	22080920	22080976	augPB-5024.t1	0	0	0	0	1	ENSG00000144229.12	THSD7B
chr12	31168122	31168290	augCGP-11327.t1	0	0	0	0	69	ENSG00000121964.14	GTDC1
chr12	35077326	35077350	augPB-5054.t4	0	0	0	0	22	ENSG00000121989.15	ACVR2A
chr12	37773002	37773203	augPB-5068.t1	0	0	0	0	6	ENSG00000232359.1	AC104777.1
chr12	37861520	37861589	augPB-5070.t1	0	0	0	0	6	ENSG00000224048.6	LINC02612
chr12	38612299	38612362	augPB-5076.t5	13	7	8	0	28	ENSG00000080345.18	RIF1
chr12	39737516	39737733	augPB-5083.t3	0	0	0	0	52	ENSG00000157827.20	FMNL2
chr12	39763702	39763796	augPB-5083.t4	4	5	8	1	17	ENSG00000157827.20	FMNL2
chr12	39782169	39782273	augPB-5084.t2	49	51	56	30	138	ENSG00000196504.17	PRPF40A
chr12	45006585	45006680	augPB-5103.t1	0	0	0	0	3	ENSG00000007001.12	UPP2
chr12	45006585	45006694	augPB-5103.t2	0	0	0	0	23	ENSG00000007001.12	UPP2
chr12	45699637	45699763	augPB-5106.t1	2	1	2	3	15	ENSG00000144283.21	PKP4
chr12	46187500	46187628	augPB-5108.t3	0	0	0	0	3	ENSG00000115183.15	TANC1
chr12	46207989	46208091	augPB-5108.t1	0	0	0	0	2	ENSG00000115183.15	TANC1
chr12	46357483	46357628	augPB-5110.t1	0	2	0	0	14	ENSG00000123636.18	BAZ2B
chr12	48939299	48939388	augPB-5122.t1	0	0	0	0	39	ENSG00000144290.17	SLC4A10
chr12	53205967	53206048	augPB-5144.t2	0	0	0	0	2	ENSG00000144285.21	SCN1A
chr12	53208110	53208243	augPB-5144.t2	0	0	0	0	2	ENSG00000144285.21	SCN1A
chr12	56071491	56071686	augPB-5156.t1	0	0	0	0	1	ENSG00000073734.10	ABCB11
chr12	56104386	56104456	augPB-5156.t1	0	0	0	0	16	ENSG00000073734.10	ABCB11
chr12	57266856	57266899	augPB-5169.t1	0	0	0	0	4	ENSG00000071909.18	MYO3B
chr12	57537858	57538003	augPB-5169.t4	0	0	0	0	2	ENSG00000071909.18	MYO3B
chr12	65783952	65784033	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65784146	65784227	augPB-5233.t1	0	0	0	0	2	ENSG00000155657.26	TTN
chr12	65785436	65785520	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65786208	65786292	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65866498	65866597	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65873212	65873320	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65914689	65914830	augPB-5233.t1	0	0	0	0	1	ENSG00000155657.26	TTN
chr12	65972836	65972921	augPB-5234.t3	0	0	0	0	3	ENSG00000163492.15	CCDC141
chr12	68199536	68199629	augPB-5246.t1	0	0	0	0	1	ENSG00000234663.7	LINC01934
chr12	68205662	68205749	augPB-5246.t1	0	0	0	0	1	ENSG00000234663.7	LINC01934
chr12	68630480	68630548	augPB-5248.t1	0	0	0	0	50	ENSG00000188452.14	CERKL
chr12	69019379	69019443	augPB-5250.t1	0	0	0	0	4	ENSG00000138434.17	ITPRID2
chr12	70095319	70095406	augPB-5256.t2	0	0	0	0	27	ENSG00000061676.15	NCKAP1
chr12	74730927	74730979	augPB-5278.t1	0	0	0	0	1	ENSG00000003436.16	TFPI
chr12	76876469	76876505	augPB-5289.t1	0	0	0	0	25	ENSG00000151687.14	ANKAR
chr12	77879871	77879970	augPB-5300.t2	0	0	0	0	17	ENSG00000138386.17	NAB1
chr12	83821624	83821752	augPB-5321.t2	0	0	0	4	151	ENSG00000144395.18	CCDC150
chr12	84103256	84103292	augPB-5324.t2	0	2	0	0	4	ENSG00000065413.20	ANKRD44
chr12	85174006	85174090	augPB-5337.t1	0	0	0	0	21	ENSG00000115896.16	PLCL1
chr12	85759654	85759737	augPB-5339.t1	0	0	0	0	2	ENSG00000225421.2	AC019330.1
chr12	87044665	87044732	augPB-5345.t3	0	0	0	0	8	ENSG00000162971.11	TYW5
chr12	88477408	88477526	augPB-5360.t1	0	0	0	0	1	ENSG00000003400.15	CASP10
chr12	88796714	88796773	augPB-5365.t2	0	0	0	0	373	ENSG00000155754.15	C2CD6
chr12	88805619	88805677	augPB-5365.t2	0	0	0	0	387	ENSG00000155754.15	C2CD6
chr12	88854457	88854504	augPB-5365.t4	0	0	0	0	520	ENSG00000155754.15	C2CD6
chr12	92692623	92692683	augPB-5394.t1	0	0	0	0	1	ENSG00000116117.18	PARD3B
chr12	92750355	92750401	augPB-5394.t1	0	0	0	0	1	ENSG00000116117.18	PARD3B
chr12	93729860	93735583	augPB-5401.t1	1	0	0	0	4	ENSG00000204186.10	ZDBF2
chr12	94061254	94061670	augPB-5404.t2	0	0	0	0	3	ENSG00000235118.8	FAM237A
chr12	94170041	94170119	augCGP-11647.t1	0	0	0	2	273	ENSG00000138400.13	MDH1B
chr12	94866032	94866125	augPB-5410.t1	0	0	0	0	1	ENSG00000229647.2	MYOSLID
chr12	94935625	94935709	augPB-5411.t1	0	0	0	0	1	ENSG00000223725.6	AC009226.1
chr12	95062872	95062944	augPB-5414.t1	0	0	0	0	9	ENSG00000144401.14	METTL21A
chr12	95063074	95063162	augPB-5414.t1	0	0	0	0	5	ENSG00000144401.14	METTL21A
chr12	95717751	95717881	augPB-5423.t5	0	0	0	1	9	ENSG00000115020.17	PIKFYVE
chr12	97019973	97020048	augPB-5427.t3	2	8	4	1	198	ENSG00000078018.20	MAP2
chr12	97253834	97253963	augPB-5428.t1	0	0	1	0	6	ENSG00000144406.19	UNC80
chr12	97904239	97904426	augPB-5434.t3	0	0	0	0	2	ENSG00000021826.17	CPS1
chr12	102370130	102370286	augPB-5447.t2	0	0	0	0	1	ENSG00000144452.15	ABCA12
chr12	103024408	103024514	augPB-5450.t1	0	0	0	0	13	ENSG00000235770.6	LINC00607
chr12	103912810	103912885	augPB-5460.t1	0	0	0	0	6	ENSG00000197756.10	RPL37A
chr12	103914162	103914274	augPB-5460.t1	0	0	0	0	4	ENSG00000197756.10	RPL37A
chr12	104814105	104814199	augPB-5464.t1	0	0	0	0	9	ENSG00000231672.7	DIRC3
chr12	106048306	106048557	augCGP-11725.t1	0	0	0	0	54	ENSG00000115556.14	PLCD4
chr12	110115420	110115612	augPB-5534.t1	0	0	0	0	1	ENSG00000124003.13	MOGAT1
chr12	113096967	113097071	augPB-5546.t2	0	0	0	0	27	ENSG00000144460.12	NYAP2
chr12	114758664	114758796	augPB-5552.t4	0	0	0	0	1	ENSG00000169031.20	COL4A3
chr12	117229803	117229961	augPB-5566.t1	9	27	3	2	485	ENSG00000153827.13	TRIP12
chr12	117271633	117271770	augCGP-11794.t1	0	0	0	0	1677	ENSG00000153827.13	TRIP12
chr12	117627741	117627861	augPB-5569.t1	0	0	0	0	14	ENSG00000135899.17	SP110
chr12	117637468	117637534	augPB-5569.t1	0	0	0	0	16	ENSG00000135899.17	SP110
chr12	117775383	117775481	augPB-5571.t1	0	0	0	0	1	ENSG00000185404.16	SP140L
chr12	117806142	117806259	augPB-5571.t1	0	0	0	0	5	ENSG00000185404.16	SP140L
chr12	118458222	118458364	augPB-5579.t1	0	0	0	0	1	ENSG00000204128.6	C2orf72
chr12	118796033	118796160	augPB-5581.t4	0	0	0	0	18	ENSG00000135931.17	ARMC9
chr12	119832222	119832436	augPB-5597.t1	0	0	0	0	2	ENSG00000163286.9	ALPG
chr12	119948425	119948602	augPB-5602.t1	0	0	0	0	2	ENSG00000237412.7	PRSS56
chr12	119967250	119967574	augPB-5604.t1	0	0	0	0	1	ENSG00000196811.13	CHRNG
chr12	121274823	121274938	augPB-5624.t3	0	0	0	0	160	ENSG00000185038.14	MROH2A
chr12	125742788	125742890	augPB-5662.t1	0	0	0	0	17	ENSG00000204104.12	TRAF3IP1
chr12	125803520	125803741	augPB-5662.t1	0	0	0	1	50	ENSG00000204104.12	TRAF3IP1
chr12	126505481	126505587	augPB-5669.t3	0	0	0	0	10	ENSG00000068024.16	HDAC4
chr12	128370830	128371007	augPB-5692.t1	0	0	0	0	1	ENSG00000226321.5	CROCC2
chr12	128448194	128448329	augPB-5693.t3	0	0	0	0	1	ENSG00000162804.14	SNED1
chr12	128462077	128462304	augPB-5693.t7	0	0	0	0	2	ENSG00000162804.14	SNED1
chr12	128462401	128462529	augPB-5693.t7	0	0	0	0	2	ENSG00000162804.14	SNED1
chr12	128465804	128466230	augPB-5693.t7	0	0	0	0	4	ENSG00000162804.14	SNED1
chr13	188465	188642	augPB-18477.t1	0	0	0	0	48	ENSG00000144026.12	ZNF514
chr13	230397	230463	augCGP-12761.t1	0	0	0	0	46	ENSG00000233757.6	AC092835.1
chr13	231187	231274	augPB-18479.t1	0	0	0	0	53	ENSG00000233757.6	AC092835.1
chr13	284911	284930	augPB-18480.t1	0	0	0	0	1	ENSG00000155066.16	PROM2
